G_tx_db,G_rx_db,angle_deg,modulation_qam,received_power,file_name
26,26,-12,16,1.1481897834382117e-08,AngularComm_16QAM_300GHz_26-26_-12deg_000.mat
26,26,-15,16,5.331144161703542e-09,AngularComm_16QAM_300GHz_26-26_-15deg_000.mat
26,26,-18,16,6.006804135661656e-09,AngularComm_16QAM_300GHz_26-26_-18deg_000.mat
26,26,-21,16,2.547633352432654e-09,AngularComm_16QAM_300GHz_26-26_-21deg_000.mat
26,26,-24,16,3.229083410894321e-09,AngularComm_16QAM_300GHz_26-26_-24deg_000.mat
26,26,-27,16,4.283661041350994e-09,AngularComm_16QAM_300GHz_26-26_-27deg_000.mat
26,26,-30,16,3.911176381505556e-09,AngularComm_16QAM_300GHz_26-26_-30deg_000.mat
26,26,-3,16,4.5431296002178223e-07,AngularComm_16QAM_300GHz_26-26_-3deg_000.mat
26,26,-6,16,2.558253329715961e-07,AngularComm_16QAM_300GHz_26-26_-6deg_000.mat
26,26,-9,16,5.124888741849441e-08,AngularComm_16QAM_300GHz_26-26_-9deg_000.mat
26,26,0,16,4.0123998329006453e-07,AngularComm_16QAM_300GHz_26-26_0deg_000.mat
26,26,12,16,8.169292771169041e-09,AngularComm_16QAM_300GHz_26-26_12deg_000.mat
26,26,15,16,2.744450940171345e-08,AngularComm_16QAM_300GHz_26-26_15deg_000.mat
26,26,18,16,1.2800903199421485e-08,AngularComm_16QAM_300GHz_26-26_18deg_000.mat
26,26,21,16,7.783122431719573e-09,AngularComm_16QAM_300GHz_26-26_21deg_000.mat
26,26,24,16,4.181021939344231e-09,AngularComm_16QAM_300GHz_26-26_24deg_000.mat
26,26,27,16,5.46059968859641e-09,AngularComm_16QAM_300GHz_26-26_27deg_000.mat
26,26,30,16,2.72209176259148e-09,AngularComm_16QAM_300GHz_26-26_30deg_000.mat
26,26,3,16,2.480303804484108e-07,AngularComm_16QAM_300GHz_26-26_3deg_000.mat
26,26,6,16,1.293786081405167e-07,AngularComm_16QAM_300GHz_26-26_6deg_000.mat
26,26,9,16,4.559165996832426e-08,AngularComm_16QAM_300GHz_26-26_9deg_000.mat
26,26,-12,2,1.152105786651703e-08,AngularComm_2QAM_300GHz_26-26_-12deg_000.mat
26,26,-15,2,4.189372240680765e-09,AngularComm_2QAM_300GHz_26-26_-15deg_000.mat
26,26,-18,2,4.034858818551627e-09,AngularComm_2QAM_300GHz_26-26_-18deg_000.mat
26,26,-21,2,3.6891471883884436e-09,AngularComm_2QAM_300GHz_26-26_-21deg_000.mat
26,26,-24,2,3.793252337435067e-09,AngularComm_2QAM_300GHz_26-26_-24deg_000.mat
26,26,-27,2,1.5185134317311167e-09,AngularComm_2QAM_300GHz_26-26_-27deg_000.mat
26,26,-30,2,1.6499527057592447e-09,AngularComm_2QAM_300GHz_26-26_-30deg_000.mat
26,26,-3,2,3.6461387065688023e-07,AngularComm_2QAM_300GHz_26-26_-3deg_000.mat
26,26,-6,2,4.08257648513494e-07,AngularComm_2QAM_300GHz_26-26_-6deg_000.mat
26,26,-9,2,9.136431215911688e-08,AngularComm_2QAM_300GHz_26-26_-9deg_000.mat
26,26,0,2,6.414976873853418e-07,AngularComm_2QAM_300GHz_26-26_0deg_000.mat
26,26,12,2,5.931013295022381e-08,AngularComm_2QAM_300GHz_26-26_12deg_000.mat
26,26,15,2,1.2656888828208066e-08,AngularComm_2QAM_300GHz_26-26_15deg_000.mat
26,26,18,2,1.856035725328401e-08,AngularComm_2QAM_300GHz_26-26_18deg_000.mat
26,26,21,2,1.6072958486154832e-08,AngularComm_2QAM_300GHz_26-26_21deg_000.mat
26,26,24,2,8.687749543502334e-09,AngularComm_2QAM_300GHz_26-26_24deg_000.mat
26,26,27,2,1.6414797139593528e-08,AngularComm_2QAM_300GHz_26-26_27deg_000.mat
26,26,30,2,1.2042181845637728e-08,AngularComm_2QAM_300GHz_26-26_30deg_000.mat
26,26,3,2,3.236001184203208e-07,AngularComm_2QAM_300GHz_26-26_3deg_000.mat
26,26,6,2,1.2290794237663037e-07,AngularComm_2QAM_300GHz_26-26_6deg_000.mat
26,26,9,2,1.2183738716856849e-08,AngularComm_2QAM_300GHz_26-26_9deg_000.mat
26,26,-12,4,9.288144491173002e-09,AngularComm_4QAM_300GHz_26-26_-12deg_000.mat
26,26,-15,4,3.52039457646067e-09,AngularComm_4QAM_300GHz_26-26_-15deg_000.mat
26,26,-18,4,4.616485562520351e-09,AngularComm_4QAM_300GHz_26-26_-18deg_000.mat
26,26,-21,4,3.7435518227188585e-09,AngularComm_4QAM_300GHz_26-26_-21deg_000.mat
26,26,-24,4,2.5476351280271156e-09,AngularComm_4QAM_300GHz_26-26_-24deg_000.mat
26,26,-27,4,2.1023027678622086e-09,AngularComm_4QAM_300GHz_26-26_-27deg_000.mat
26,26,-30,4,2.004730024147459e-09,AngularComm_4QAM_300GHz_26-26_-30deg_000.mat
26,26,-3,4,6.928582546106808e-07,AngularComm_4QAM_300GHz_26-26_-3deg_000.mat
26,26,-6,4,3.528068620773184e-07,AngularComm_4QAM_300GHz_26-26_-6deg_000.mat
26,26,-9,4,8.282452785368252e-08,AngularComm_4QAM_300GHz_26-26_-9deg_000.mat
26,26,0,4,6.34448561041082e-07,AngularComm_4QAM_300GHz_26-26_0deg_000.mat
26,26,12,4,6.732350215299802e-08,AngularComm_4QAM_300GHz_26-26_12deg_000.mat
26,26,15,4,1.9729954905889194e-08,AngularComm_4QAM_300GHz_26-26_15deg_000.mat
26,26,18,4,2.567695835324526e-09,AngularComm_4QAM_300GHz_26-26_18deg_000.mat
26,26,21,4,3.590673311952972e-09,AngularComm_4QAM_300GHz_26-26_21deg_000.mat
26,26,24,4,3.829786348934627e-09,AngularComm_4QAM_300GHz_26-26_24deg_000.mat
26,26,27,4,3.785378113742359e-09,AngularComm_4QAM_300GHz_26-26_27deg_000.mat
26,26,30,4,3.2560045092398938e-09,AngularComm_4QAM_300GHz_26-26_30deg_000.mat
26,26,3,4,3.7341163869452717e-07,AngularComm_4QAM_300GHz_26-26_3deg_000.mat
26,26,6,4,8.976799485324635e-08,AngularComm_4QAM_300GHz_26-26_6deg_000.mat
26,26,9,4,3.722218100588798e-08,AngularComm_4QAM_300GHz_26-26_9deg_000.mat
26,26,-12,64,2.657882793687879e-08,AngularComm_64QAM_300GHz_26-26_-12deg_000.mat
26,26,-15,64,9.663666708694822e-09,AngularComm_64QAM_300GHz_26-26_-15deg_000.mat
26,26,-18,64,1.0777391078734298e-08,AngularComm_64QAM_300GHz_26-26_-18deg_000.mat
26,26,-21,64,4.285442564965819e-09,AngularComm_64QAM_300GHz_26-26_-21deg_000.mat
